Player,Team,Prediction
Patrick Mahomes II,KC,23.132275
Lamar Jackson,BAL,22.687408
Jalen Hurts,PHI,22.096226
Josh Allen,BUF,21.887407
Joe Burrow,CIN,21.810272
Justin Fields,CHI,20.688463
Anthony Richardson,IND,20.552011
Deshaun Watson,CLE,20.237673
Kirk Cousins,MIN,19.60802
Justin Herbert,LAC,19.588987
Trevor Lawrence,JAC,19.156178
Daniel Jones,NYG,19.030596
Austin Ekeler,LAC,18.527658
Geno Smith,SEA,18.507359
Justin Jefferson,MIN,18.46305
Russell Wilson,DEN,18.153677
Dak Prescott,DAL,18.117306
Tua Tagovailoa,MIA,17.960274
Aaron Rodgers,NYJ,17.90995
Ja'Marr Chase,CIN,17.900597
Cooper Kupp,LAR,17.900597
Tyreek Hill,MIA,17.898708
CeeDee Lamb,DAL,17.662804
Kyler Murray,ARI,17.606583
Brock Purdy,SF,16.967752
Jared Goff,DET,16.732487
Kenny Pickett,PIT,16.556665
Sam Ehlinger,IND,16.420692
Christian McCaffrey,SF,16.412395
Jordan Love,GB,16.321507
Derek Carr,NO,16.293774
Matthew Stafford,LAR,16.21859
Saquon Barkley,NYG,16.199846
Rhamondre Stevenson,NE,16.044495
Max Duggan,LAC,15.95469
Joe Mixon,CIN,15.863612
Stefon Diggs,BUF,15.839429
Davante Adams,LV,15.566086
Aaron Jones,GB,15.407758
Tony Pollard,DAL,15.388477
Rachaad White,TB,15.388477
Derrick Henry,TEN,15.273765
Jimmy Garoppolo,LV,15.19775
Bryce Young,CAR,15.122566
C.J. Stroud,HOU,15.122566
Amon-Ra St. Brown,DET,15.08821
Mac Jones,NE,15.005858
Nate Sudfeld,DET,14.9116125
Ryan Tannehill,TEN,14.731984
Sam Howell,WAS,14.731984
Cooper Rush,DAL,14.650982
Feleipe Franks,ATL,14.619318
Jaren Hall,MIN,14.541796
Tanner McKee,PHI,14.541796
Jake Haener,NO,14.541796
Matt Barkley,BUF,14.541796
Dorian Thompson-Robinson,CLE,14.541796
Tommy DeVito,NYG,14.541796
Danny Etling,GB,14.541796
Shane Buechele,KC,14.541796
Will Grier,DAL,14.541796
Jaylen Waddle,MIA,14.539069
Garrett Wilson,NYJ,14.539069
Chris Olave,NO,14.539069
A.J. Brown,PHI,14.491448
Desmond Ridder,ATL,14.435106
Baker Mayfield,TB,14.435106
Alvin Kamara,NO,14.364475
Amari Cooper,CLE,14.356834
Tee Higgins,CIN,14.356834
DeVonta Smith,PHI,14.356834
Jerry Jeudy,DEN,14.356834
Keenan Allen,LAC,14.353921
DK Metcalf,SEA,14.3469095
Calvin Ridley,JAC,14.3469095
Jahmyr Gibbs,DET,14.2413435
Trevor Siemian,CIN,14.159045
Skylar Thompson,MIA,14.159045
DeAndre Hopkins,TEN,14.133328
Christian Kirk,JAC,14.028871
Drake London,ATL,14.028871
Mason Rudolph,PIT,13.971675
Mike Williams,LAC,13.920744
Brett Rypien,LAR,13.795042
James Conner,ARI,13.650164
Christian Watson,GB,13.602705
Mike Evans,TB,13.602705
DJ Moore,CHI,13.602705
Josh Jacobs,LV,13.562953
Najee Harris,PIT,13.562953
Bijan Robinson,ATL,13.452237
Travis Etienne Jr.,JAC,13.420524
Jonathan Taylor,IND,13.352858
Breece Hall,NYJ,13.261004
Tyler Lockett,SEA,13.223085
Nick Chubb,CLE,13.182969
Jacoby Brissett,WAS,12.887942
Colt McCoy,ARI,12.887942
Trey Lance,SF,12.887942
Kyle Trask,TB,12.7682495
Will Levis,TEN,12.7682495
Gardner Minshew II,IND,12.7682495
Brian Hoyer,LV,12.7682495
Taylor Heinicke,ATL,12.7682495
Clayton Tune,ARI,12.7682495
Chris Godwin,TB,12.751083
Dameon Pierce,HOU,12.680898
Terry McLaurin,WAS,12.673308
Alexander Mattison,MIN,12.421157
Miles Sanders,CAR,12.421157
Kenneth Walker III,SEA,12.401612
Andy Dalton,CAR,12.376906
Mitch Trubisky,PIT,12.376906
Jarrett Stidham,DEN,12.376906
Sean Clifford,GB,12.376906
Jameis Winston,NO,12.376906
Nick Mullens,MIN,12.376906
Zach Wilson,NYJ,12.376906
Drew Lock,SEA,12.376906
Stetson Bennett,LAR,12.376906
David Blough,ARI,12.376906
Hendon Hooker,DET,12.376906
Cam Akers,LAR,12.339167
Mike White,MIA,12.275693
Sam Darnold,SF,12.275693
Bailey Zappe,NE,12.275693
Davis Mills,HOU,12.275693
Tyrod Taylor,NYG,12.275693
Marcus Mariota,PHI,12.275693
Tyler Huntley,BAL,12.275693
P.J. Walker,CHI,12.275693
Blaine Gabbert,KC,12.275693
Joshua Dobbs,CLE,12.275693
Easton Stick,LAC,12.275693
C.J. Beathard,JAC,12.275693
Kyle Allen,BUF,12.275693
Matt Corral,CAR,12.275693
Aidan O'Connell,LV,12.275693
Malik Willis,TEN,12.275693
Case Keenum,HOU,12.275693
Marquise Brown,ARI,12.237381
Diontae Johnson,PIT,12.011864
David Montgomery,DET,11.9733095
Michael Pittman Jr.,IND,11.955461
Isiah Pacheco,KC,11.850319
Brandin Cooks,DAL,11.793335
Deebo Samuel,SF,11.773371
Jahan Dotson,WAS,11.646416
Brandon Aiyuk,SF,11.62516
Brian Robinson Jr.,WAS,11.559234
Gabe Davis,BUF,11.464146
Jordan Addison,MIN,11.1359415
J.K. Dobbins,BAL,11.13386
Michael Thomas,NO,11.119524
JuJu Smith-Schuster,NE,11.119524
Jakobi Meyers,LV,10.951348
Javonte Williams,DEN,10.933888
Treylon Burks,TEN,10.578321
Courtland Sutton,DEN,10.512157
Tyler Boyd,CIN,10.512157
Jaxon Smith-Njigba,SEA,10.465448
Nico Collins,HOU,10.465448
George Pickens,PIT,10.411012
Antonio Gibson,WAS,10.4087715
Rondale Moore,ARI,10.31082
D'Andre Swift,PHI,10.308618
Rashod Bateman,BAL,10.107907
Zay Jones,JAC,10.094936
Zay Flowers,BAL,9.896164
Marquez Valdes-Scantling,KC,9.896164
James Cook,BUF,9.774038
Adam Thielen,CAR,9.694609
Hunter Renfrow,LV,9.492651
Kadarius Toney,KC,9.381128
AJ Dillon,GB,9.364983
Darnell Mooney,CHI,9.357476
Allen Lazard,NYJ,9.296877
Romeo Doubs,GB,9.29036
Xavier Hutchinson,HOU,9.286711
Robbie Chosen,MIA,9.286711
A.T. Perry,NO,9.286711
Tyler Scott,CHI,9.286711
Justyn Ross,KC,9.286711
Parker Washington,JAC,9.286711
Nelson Agholor,BAL,9.286711
Velus Jones Jr.,CHI,9.286711
Jalen Tolbert,DAL,9.286711
Marquez Callaway,DEN,9.286711
Jamison Crowder,NYG,9.286711
Andrei Iosivas,CIN,9.286711
Bryce Ford-Wheaton,NYG,9.286711
Matthew Slater,NE,9.286711
Danny Gray,SF,9.286711
Cedric Tillman,CLE,9.258
Kayshon Boutte,NE,9.258
Quentin Johnston,LAC,9.223037
DJ Chark Jr.,CAR,9.223037
DeVante Parker,NE,9.223037
Jameson Williams,DET,9.21652
Tim Patrick,DEN,9.21652
Van Jefferson,LAR,9.21652
Michael Gallup,DAL,9.21652
Isaiah Hodgins,NYG,9.21652
K.J. Osborn,MIN,9.21652
Robert Woods,HOU,9.044786
Samaje Perine,DEN,9.035779
Jeff Wilson Jr.,MIA,8.975234
Raheem Mostert,MIA,8.975234
Donovan Peoples-Jones,CLE,8.94437
Rashid Shaheed,NO,8.937854
Jonathan Mingo,CAR,8.937854
Skyy Moore,KC,8.937854
Elijah Moore,CLE,8.937854
Alec Pierce,IND,8.937854
Darius Slayton,NYG,8.937854
Jayden Reed,GB,8.937854
John Metchie III,HOU,8.937854
Khalil Herbert,CHI,8.932533
Russell Gage,TB,8.879143
Devin Singletary,HOU,8.87508
Zach Charbonnet,SEA,8.87508
De'Von Achane,MIA,8.87508
Curtis Samuel,WAS,8.805303
Odell Beckham Jr.,BAL,8.805303
Tyquan Thornton,NE,8.805303
Mack Hollins,ATL,8.805303
Deon Jackson,IND,8.798086
Ray-Ray McCloud III,SF,8.739937
Jalen Reagor,MIN,8.739937
Joe Reed,CHI,8.739937
Kaylon Geiger Sr.,TB,8.739937
Tom Kennedy,DET,8.739937
Maurice Alexander,DET,8.739937
Trinity Benson,DET,8.739937
Isaiah Coulter,BUF,8.739937
Easop Winston Jr.,SEA,8.739937
Dennis Houston,DAL,8.739937
KaVontae Turpin,DAL,8.739937
Stanley Morgan Jr.,CIN,8.739937
KeeSean Johnson,BUF,8.739937
Jacob Harris,JAC,8.739937
Jalen Virgil,DEN,8.739937
Montrell Washington,DEN,8.739937
Jaelon Darden,CLE,8.739937
Kevin Austin Jr.,JAC,8.739937
Cam Sims,LV,8.739937
Alex Erickson,NYJ,8.739937
Brandon Johnson,DEN,8.739937
Erik Ezukanma,MIA,8.739937
James Proche II,BAL,8.739937
Miles Boykin,PIT,8.739937
C.J. Saunders,CAR,8.739937
Dez Fitzpatrick,PIT,8.739937
Cody White,PIT,8.739937
Daylen Baldwin,CLE,8.739937
Keke Coutee,NO,8.739937
Justin Shorter,BUF,8.739937
David Sills V,NYG,8.739937
Tylan Wallace,BAL,8.739937
Quintez Cephus,DET,8.739937
Gunner Olszewski,PIT,8.508187
Trent Taylor,CIN,8.508187
Marquez Stevenson,CAR,8.508187
Keelan Cole Sr.,LV,8.508187
Mason Kinsey,TEN,8.508187
Michael Woods II,CLE,8.508187
Racey McMath,TEN,8.508187
Chris Conley,SF,8.508187
Malik Turner,IND,8.508187
Vyncint Smith,IND,8.508187
Anthony Schwartz,CLE,8.508187
Josh Ali,ATL,8.508187
Tim Jones,JAC,8.508187
Andy Isabella,BUF,8.508187
Dezmon Patmon,BUF,8.508187
Frank Darby,ATL,8.508187
Austin Trammell,LAR,8.508187
Daurice Fountain,CHI,8.508187
Nsimba Webster,CHI,8.508187
Keith Kirkwood,NO,8.508187
Dax Milne,WAS,8.508187
James Washington,NO,8.508187
Jalen Camp,HOU,8.508187
Seth Williams,JAC,8.508187
Kawaan Baker,NO,8.508187
Dareke Young,SEA,8.508187
Demetric Felton Jr.,CLE,8.508187
Juwann Winfree,IND,8.508187
Breshad Perriman,IND,8.508187
Keelan Doss,LAC,8.508187
Britain Covey,PHI,8.508187
Damien Harris,BUF,8.465484
Elijah Mitchell,SF,8.294779
Zack Moss,IND,8.211088
Tyler Allgeier,ATL,8.167717
D'Onta Foreman,CHI,8.167717
Rashaad Penny,PHI,8.067509
Chuba Hubbard,CAR,8.066647
Israel Abanikanda,NYJ,8.066647
Chase Brown,CIN,8.066647
Corey Davis,NYJ,8.004877
Chase Claypool,CHI,8.004877
Rashee Rice,KC,8.004877
Greg Dortch,ARI,8.004244
Jamaal Williams,NO,7.995642
Jaylen Warren,PIT,7.9865837
Kenneth Gainwell,PHI,7.9865837
Chase Edmonds,TB,7.9865837
Cordarrelle Patterson,ATL,7.9865837
Michael Carter,NYJ,7.9865837
Gary Brightwell,NYG,7.904334
Jordan Mims,BUF,7.904334
Zander Horvath,LAC,7.904334
Alec Ingold,MIA,7.904334
La'Mical Perine,KC,7.904334
Jermar Jefferson,DET,7.904334
Ronnie Rivers,LAR,7.904334
Qadree Ollison,JAC,7.904334
Jason Cabinda,DET,7.904334
Larry Rountree III,LAC,7.904334
Giovanni Ricci,CAR,7.904334
Jason Huntley,PIT,7.904334
Patrick Laird,TB,7.904334
Spencer Brown,CAR,7.904334
Hunter Luepke,DAL,7.904334
Nate McCrary,CLE,7.904334
Gerrid Doaks,HOU,7.904334
Jaret Patterson,WAS,7.904334
Jonathan Ward,TEN,7.904334
Adam Prentice,NO,7.904334
Henry Pearson,GB,7.904334
Avery Williams,ATL,7.904334
Michael Burton,DEN,7.904334
Jack Colletto,SF,7.904334
Clint Ratkovich,ATL,7.904334
Jakob Johnson,LV,7.904334
Khari Blasingame,CHI,7.904334
Keith Smith,ATL,7.904334
John Kelly Jr.,CLE,7.904334
Marvin Jones Jr.,DET,7.9026084
Allen Robinson II,PIT,7.8973126
J.J. Taylor,NE,7.871379
Owen Wright,BAL,7.871379
Kyle Juszczyk,SF,7.871379
Dare Ogunbowale,HOU,7.871379
Darrynton Evans,BUF,7.871379
Reggie Gilliam,BUF,7.871379
C.J. Ham,MIN,7.871379
Patrick Ricard,BAL,7.871379
Zach Ojile,MIN,7.805382
Nick Bellore,SEA,7.805382
Tank Bigsby,JAC,7.6818924
Kendre Miller,NO,7.6818924
Tyjae Spears,TEN,7.6818924
Zonovan Knight,NYJ,7.6818924
Isaiah McKenzie,IND,7.621795
Ben Skowronek,LAR,7.621795
Khalil Shakir,BUF,7.608489
Jerick McKinnon,KC,7.601117
Gus Edwards,BAL,7.544143
Ronald Jones II,DAL,7.544143
Jordan Mason,SF,7.544143
Roschon Johnson,CHI,7.511188
Clyde Edwards-Helaire,KC,7.511188
Ty Chandler,MIN,7.511188
Joshua Kelley,LAC,7.511188
Pierre Strong Jr.,NE,7.511188
Kyren Williams,LAR,7.511188
Keaontay Ingram,ARI,7.511188
Eric Gray,NYG,7.511188
Latavius Murray,BUF,7.511188
Jerome Ford,CLE,7.511188
Matt Breida,NYG,7.511188
Isaiah Spiller,LAC,7.511188
Zach Evans,LAR,7.511188
Sean Tucker,TB,7.511188
Melvin Gordon III,BAL,7.511188
Mecole Hardman Jr.,NYJ,7.3528
Nick Westbrook-Ikhine,TEN,7.34725
Wan'Dale Robinson,NYG,7.3329725
Jalin Hyatt,NYG,7.3329725
Josh Reynolds,DET,7.3329725
Joshua Palmer,LAC,7.3329725
Parris Campbell,NYG,7.3329725
Terrace Marshall Jr.,CAR,7.3274226
Kendrick Bourne,NE,7.3274226
Josh Downs,IND,7.3274226
Richie James Jr.,KC,7.3089857
Sterling Shepard,NYG,7.3089857
Malik Davis,DAL,7.127784
Ke'Shawn Vaughn,TB,7.127784
DeWayne McBride,MIN,7.127784
James Robinson,NYG,7.127784
Trayveon Williams,CIN,7.127784
Kevin Harris,NE,7.127784
Zamir White,LV,7.127784
Evan Hull,IND,7.127784
JaMycal Hasty,JAC,7.0948286
Corey Clement,ARI,7.0948286
Deuce Vaughn,DAL,7.0948286
Hassan Haskins,TEN,7.0948286
Deneric Prince,KC,7.0948286
Chris Rodriguez Jr.,WAS,7.0948286
Equanimeous St. Brown,CHI,7.046532
Steven Sims Jr.,HOU,7.046532
Shi Smith,CAR,7.046532
David Moore,TB,7.046532
Tre Nixon,NE,7.046532
Ashton Dulin,IND,7.046532
Kendall Hinton,DEN,7.046532
River Cracraft,MIA,7.046532
Damiere Byrd,CAR,7.046532
Jalen Nailor,MIN,7.046532
Deonte Harty,BUF,7.028985
Calvin Austin III,PIT,7.028985
Andre Baccellia,ARI,7.028985
Deven Thompkins,TB,7.028985
DeAndre Carter,LV,7.028985
Tre'Quan Smith,NO,7.028985
Scott Miller,ATL,7.028985
Denzel Mims,DET,7.028985
Lance McCutcheon,LAR,7.028985
Cody Thompson,SEA,7.028985
Byron Pringle,WAS,7.028985
Dontayvion Wicks,GB,7.028985
Jakeem Grant Sr.,CLE,7.028985
Dante Pettis,CHI,7.028985
Mike Strachan,IND,7.028985
Cole Beasley,NYG,7.028985
Jason Brownlee,NYJ,7.028985
Ameer Abdullah,LV,6.9989643
Marvin Mims Jr.,DEN,6.6888213
Boston Scott,PHI,6.680498
Sincere McCormick,LV,6.680498
Kenny McIntosh,SEA,6.680498
D'Ernest Johnson,JAC,6.680498
Kene Nwangwu,MIN,6.680498
Jake Funk,IND,6.680498
Tyrion Davis-Price,SF,6.680498
Patrick Taylor Jr.,GB,6.680498
Tony Jones Jr.,DEN,6.680498
Salvon Ahmed,MIA,6.680498
Myles Gaskin,MIA,6.680498
Justice Hill,BAL,6.680498
Eno Benjamin,NO,6.680498
Brittain Brown,LV,6.680498
Snoop Conner,JAC,6.680498
Lew Nichols III,GB,6.680498
Jonathan Williams,WAS,6.680498
Craig Reynolds,DET,6.680498
Rico Dowdle,DAL,6.680498
Ty'Son Williams,ARI,6.680498
Mike Boone,HOU,6.680498
Trey Sermon,PHI,6.680498
Damarea Crockett,NYJ,6.680498
Trestan Ebner,CHI,6.680498
Julius Chestnut,TEN,6.680498
Tutu Atwell,LAR,6.6703844
Laviska Shenault Jr.,CAR,6.6703844
Chris Moore,TEN,6.6703844
Puka Nacua,LAR,6.6703844
Quez Watkins,PHI,6.6703844
Olamide Zaccheaus,PHI,6.6703844
Braxton Berrios,MIA,6.6703844
Noah Brown,HOU,6.6703844
Tank Dell,HOU,6.6703844
Jauan Jennings,SF,6.6703844
Devin Duvernay,BAL,6.6703844
Marquise Goodwin,CLE,6.6703844
Kalif Raymond,DET,6.6703844
Charlie Jones,CIN,6.6703844
Michael Wilson,ARI,6.6703844
Terrell Bynum,LAC,6.6703844
Samori Toure,GB,6.6703844
Randall Cobb,NYJ,6.6703844
Cedrick Wilson Jr.,MIA,6.6703844
Jalen Guyton,LAC,6.6703844
Justin Watson,KC,6.6703844
David Bell,CLE,6.6703844
Trent Sherfield,BUF,6.6703844
Demarcus Robinson,LAR,6.6703844
Kyle Philips,TEN,6.6703844
Cade Johnson,SEA,6.6703844
Jamal Agnew,JAC,6.6703844
Bo Melton,GB,6.6703844
Dyami Brown,WAS,6.6703844
KhaDarel Hodge,ATL,6.6703844
Trey Palmer,TB,6.6703844
Greg Ward,PHI,6.6703844
Zach Pascal,ARI,6.6703844
Dee Eskridge,SEA,6.6703844
Trenton Irwin,CIN,6.6703844
Brandon Powell,MIN,6.6703844
Phillip Dorsett II,LV,6.6703844
Bryan Edwards,NO,6.6528373
Tre Tucker,LV,6.6528373
Ty Montgomery,NE,6.647543
DeeJay Dallas,SEA,6.647543
Raheem Blackshear,CAR,6.647543
Chris Evans,CIN,6.647543
Anthony McFarland Jr.,PIT,6.647543
Travis Homer,CHI,6.647543
Demetric Felton Jr.,CLE,6.647543
Tyler Badie,DEN,6.647543
Brandon Bolden,LV,6.647543
Keaton Mitchell,BAL,6.581546
Mohamed Ibrahim,DET,6.581546
Simi Fehoko,DAL,6.4822083