,Player,Team,ATT,CMP,YDS,TD,INTS,ATT.1,YDS.1,TD.1,FL,FPTS,Prediction
1,Patrick Mahomes II,KC,609.8,405.5,4832,37.7,11.2,64.9,356.8,3.2,1.9,383.8,23.132275
2,Josh Allen,BUF,575.7,363.1,4277.3,32.1,14.2,117,661.6,6.3,4.2,380.5,21.887407
3,Jalen Hurts,PHI,494.5,318.3,3825,23.8,10.1,157.6,800.7,11,2.9,378.5,22.096226
4,Lamar Jackson,BAL,477.6,303.1,3463.3,25.5,11.5,148.9,942.9,5.5,3,350.4,22.687408
5,Joe Burrow,CIN,599,407.3,4634.9,33,13.1,65.4,274.4,3.9,2.3,350.3,21.810272
6,Justin Fields,CHI,408,250.9,2912.3,20.4,12.8,161.3,"1,070.20",6.9,3.5,326.7,20.688463
7,Justin Herbert,LAC,627.8,422,4596.1,30.1,12.7,57.1,220.7,2,2,321.5,19.588987
8,Deshaun Watson,CLE,507.9,326.7,3872.4,24.8,11.3,96.1,481.9,4.1,1.8,311.8,20.237673
9,Kirk Cousins,MIN,592.7,394.9,4442,30.5,12.3,31.6,92,1.5,2.8,300.3,19.60802
10,Dak Prescott,DAL,550.4,363.1,4111,29.1,13.9,58,248.6,2.3,3.1,299.9,18.117306
11,Trevor Lawrence,JAC,579.2,378.4,4085.7,26.6,12.3,62.2,285.1,3.9,5.2,299.3,19.156178
12,Daniel Jones,NYG,515.3,335.6,3474.5,20.8,9.8,109.3,638.6,4.9,4.1,297.4,19.030596
13,Geno Smith,SEA,543.4,370,4038.3,27.1,11.3,62.2,323.3,2,3.5,295.9,18.507359
14,Aaron Rodgers,NYJ,565.3,366.1,4101.8,28.4,8.6,36,123.9,1.6,2.6,285.3,17.90995
15,Russell Wilson,DEN,511.7,323,3816.1,24.4,10.7,63.5,318.4,2.7,2.1,283.4,18.153677
16,Jared Goff,DET,570.6,375.1,4241.6,28,11,31,79.8,1.1,3.6,277.8,16.732487
17,Tua Tagovailoa,MIA,523.8,342.3,4037.3,26.9,12.1,42.3,131.9,1.6,1.8,276.3,17.960274
18,Anthony Richardson,IND,484,298.1,3155.1,17.9,13.2,128.5,568,4.2,2.5,261.3,20.552011
19,Derek Carr,NO,511,335.3,3936.3,23.8,11.8,34.9,118.2,0.9,2.6,253,16.293774
20,Matthew Stafford,LAR,528.1,350.8,3984.9,24.4,13.2,30,71.4,0.9,2.8,250.7,16.21859
21,Kenny Pickett,PIT,503.8,318,3318.4,17.5,12.5,66.8,420.6,3.6,1.5,250.6,16.556665
22,Jordan Love,GB,544.1,344,3811.7,23.2,14.8,43.1,166.6,1.5,2.6,250.4,16.321507
23,Bryce Young,CAR,525.1,331,3665.8,20.5,12.9,51.1,200.5,1.6,2.3,240.8,15.122566
24,Brock Purdy,SF,436.6,285.3,3394.5,23.6,9.9,36.6,107.7,2,1.4,240.2,16.967752
25,Jimmy Garoppolo,LV,483.4,319.5,3557.9,21.3,11.7,30.3,66.5,1.5,2.3,227,15.19775
26,C.J. Stroud,HOU,519.7,326.3,3460.3,19.7,14.2,50.4,177.8,1.5,2.5,224.4,15.122566
27,Mac Jones,NE,492.3,321.9,3436.3,19.1,13.2,50.6,148.9,1.2,2.1,218.8,15.005858
28,Kyler Murray,ARI,434.4,286.3,2798.9,14.5,9.7,79.6,424.7,3,1.9,216.8,17.606583
29,Ryan Tannehill,TEN,444.2,289,3217.7,18.3,10.6,40.3,159.6,2.1,2.1,216,14.731984
30,Sam Howell,WAS,463.4,288.9,2968.8,16.3,11.9,49.8,207.9,1.7,2.4,198,14.731984
31,Desmond Ridder,ATL,439.3,270.7,2923.2,16.5,10.4,39.8,172.4,1.4,3,192.3,14.435106
32,Baker Mayfield,TB,457.3,280.8,2989.7,15.9,11.4,33.8,121.3,1.1,2.1,186.4,14.435106
33,Jacoby Brissett,WAS,206.8,120.7,1322.8,5.5,4.3,24.5,95.3,0.8,1.8,81.3,12.887942
34,Colt McCoy,ARI,179.1,116.2,1259.8,4.9,4.8,18.7,62.4,0.5,1.1,72.2,12.887942
35,Kyle Trask,TB,201.1,121.1,1231.4,5.6,6.1,17.2,46.8,0.2,1.1,69.3,12.7682495
36,Will Levis,TEN,143.7,89,1027.8,4.2,4.7,18.3,60.7,0.3,0.9,59.4,12.7682495
37,Trey Lance,SF,126.6,78.1,799.9,3,3.5,23.1,93.8,0.6,0.9,51.7,12.887942
38,Gardner Minshew II,IND,99,62.4,826.6,3.3,2.7,15.2,51.9,0.2,1.6,46.7,12.7682495
39,Brian Hoyer,LV,97.9,59.4,747.2,4,4,10.4,32.8,0.2,0.8,45.2,12.7682495
40,Taylor Heinicke,ATL,99.2,60.7,713.8,3.9,4,18.1,51.4,0.2,1.2,43.8,12.7682495
41,Mike White,MIA,94.6,56.6,608.1,2.8,3.7,12.6,20.4,0.1,0.6,33,12.275693
42,Brett Rypien,LAR,0,0,571.3,2.6,3.8,0,14.5,0.3,0.2,31.9,13.795042
43,Sam Darnold,SF,119.1,69,579.6,2.3,3.6,15,42.4,0.1,1,31.3,12.275693
44,Bailey Zappe,NE,100.2,61,598.9,2.4,3.6,12,22.4,0.1,1.1,30.8,12.275693
45,Clayton Tune,ARI,137.7,81.7,765.1,0,5.8,23.7,51.1,0.2,1.7,27.7,12.7682495
46,Davis Mills,HOU,84.7,49.6,521.6,1.7,4,14.5,31.5,0.2,0.6,26.9,12.275693
47,Tyrod Taylor,NYG,41.9,27.1,286.8,2,1.3,14.3,59.2,0.2,0.3,25,12.275693
48,Nate Sudfeld,DET,0,0,383.8,1.7,1.9,0,26.5,0.5,0.5,24.9,14.9116125
49,Marcus Mariota,PHI,54.7,34.3,329.7,1.6,1.2,15.4,49.1,0.3,0.4,24,12.275693
50,Andy Dalton,CAR,67.5,41.9,421.6,2,2.4,7.4,15.9,0.1,0.4,23.5,12.376906
51,Tyler Huntley,BAL,52.2,32.7,310.4,1.4,1.4,19.8,59.5,0.2,0.5,22.6,12.275693
52,Mitch Trubisky,PIT,58.4,38.4,357.4,1.6,1.7,8.3,25.3,0.2,0.2,22.3,12.376906
53,Jarrett Stidham,DEN,60.3,34.4,350.4,2.3,2.1,5.3,11.1,0.1,0.4,21.8,12.376906
54,Sean Clifford,GB,50.6,31.2,363.2,1.6,2.5,8.4,19.4,0.2,0.5,20.3,12.376906
55,P.J. Walker,CHI,85.6,43.5,368.6,1.8,4,9.9,21.6,0.1,0.4,19.9,12.275693
56,Blaine Gabbert,KC,51.9,30.5,337.4,1.7,2.6,11.2,21.2,0.1,0.5,19.3,12.275693
57,Jameis Winston,NO,38,26.2,321.6,1.5,1.4,4.6,9.4,0.2,0.2,19.2,12.376906
58,Nick Mullens,MIN,45.8,34.4,337.5,1.9,2.1,5,8.7,0.1,0.7,19,12.376906
59,Joshua Dobbs,CLE,54.7,32.5,337.2,1.5,2.6,10.7,27.2,0.1,0.6,19,12.275693
60,Zach Wilson,NYJ,94.2,52.6,480.1,0.8,5.2,5.4,13.5,0.2,0.5,18.6,12.376906
61,Drew Lock,SEA,52.9,29,327.8,1.5,2.7,6,16.9,0.1,0.5,17.9,12.376906
62,Easton Stick,LAC,60.4,35.4,327,1.6,3.5,14.8,20,0.2,0.7,17.6,12.275693
63,Stetson Bennett,LAR,63,39.2,336.4,1.2,1.7,8.2,17.1,0.1,0.5,17.6,12.376906
64,C.J. Beathard,JAC,49.7,29,313.5,1.5,2.9,11.4,19.6,0.1,0.5,17.1,12.275693
65,Cooper Rush,DAL,31.9,19.7,250.5,1.5,1.1,2.9,6.6,0.1,0.2,15.6,14.650982
66,David Blough,ARI,87,52,307.6,1.2,2,7,12.8,0,0.5,15.6,12.376906
67,Kyle Allen,BUF,61.1,37.9,409.1,1.2,5.2,10.3,25.6,0.2,2.3,15,12.275693
68,Hendon Hooker,DET,59.8,36.2,270.5,0.7,1.7,9.4,19.6,0.1,0.5,13.7,12.376906
69,Matt Corral,CAR,76.7,44.9,411.6,0,5.1,19.4,39.5,0.2,1.5,13.5,12.275693
70,Aidan O'Connell,LV,61.7,36.5,281.4,0.5,2.1,10.8,16.9,0.1,0.6,12.5,12.275693
71,Trevor Siemian,CIN,40.2,24.4,219,1.2,2.6,11.1,16.1,0.1,0.5,12.1,14.159045
72,Malik Willis,TEN,79.6,45.5,308.2,0.5,3.3,16.1,21.9,0,0.6,12.1,12.275693
73,Max Duggan,LAC,21,14,144,1,0,1,3,0,0,10.1,15.95469
74,Jaren Hall,MIN,20,13,141,1,0,1,3,0,0,9.9,14.541796
75,Tanner McKee,PHI,16,10,120,1,0,1,6,0,0,9.4,14.541796
76,Case Keenum,HOU,146.2,74.2,286.7,0.3,1.5,15.9,1.2,0,1,9.1,12.275693
77,Skylar Thompson,MIA,90.7,51.5,243.7,0.7,4,26.5,20.4,0,0.9,9.1,14.159045
78,Jake Haener,NO,15,10,117,1,0,1,4,0,0,9.1,14.541796
79,Matt Barkley,BUF,0,0,178.4,0.5,1.3,0,0,0.1,0.1,8.4,14.541796
80,Dorian Thompson-Robinson,CLE,17,11,119,1,1,1,4,0,0,8.2,14.541796
81,Mason Rudolph,PIT,51.2,34.9,122.3,0.5,1.2,17.7,14.2,0,0,7.3,13.971675
82,Sam Ehlinger,IND,20.8,11.6,100.1,1.5,7.1,30.3,44.5,0,1.6,4.2,16.420692
83,Tommy DeVito,NYG,0,0,23.1,0.1,0.1,0,0.1,0,0,1.3,14.541796
84,Danny Etling,GB,0,0,18.8,0.1,0.1,0,0,0,0,1.2,14.541796
85,Feleipe Franks,ATL,0,0,0,0,0,4,11,0,0,1.1,14.619318
86,Shane Buechele,KC,0,0,16.8,0.1,0.1,0,0.1,0,0,1,14.541796
87,Will Grier,DAL,0,0,9.4,0,0.1,0,0,0,0,0.4,14.541796