,Player,Team,ATT,YDS,TDS,REC,YDS.1,TDS.1,FL,Prediction
1,Christian McCaffrey,SF,224.2,"1,034.40",7.6,76.3,652.9,4.4,1.0,16.412395
2,Austin Ekeler,LAC,190.8,866.4,9.5,80.1,619.0,4.0,1.9,18.527658
3,Saquon Barkley,NYG,255.9,"1,146.90",7.9,51.6,354.8,1.7,1.3,16.199846
4,Josh Jacobs,LV,265.2,"1,222.00",9.7,39.7,291.2,0.8,1.8,13.562953
5,Tony Pollard,DAL,211.1,"1,065.10",7.9,46.3,383.1,2.2,0.8,15.388477
6,Nick Chubb,CLE,277.3,"1,389.20",9.3,26.9,226.7,1.1,1.9,13.182969
7,Derrick Henry,TEN,301.9,"1,330.00",9.3,31.7,266.6,0.7,2.1,15.273765
8,Bijan Robinson,ATL,239.5,"1,153.00",8.6,38.7,329.7,2.1,2.2,13.452237
9,Joe Mixon,CIN,245.2,"1,013.20",7.8,51.3,376.3,2.0,1.3,15.863612
10,Jonathan Taylor,IND,261.8,"1,243.60",9.0,37.8,255.6,1.0,2.5,13.352858
11,Aaron Jones,GB,204.1,"1,001.60",5.9,51.2,381.6,2.8,1.3,15.407758
12,Rhamondre Stevenson,NE,221.5,"1,024.50",6.3,54.7,382.3,1.5,1.6,16.044495
13,Breece Hall,NYJ,191.8,973.4,6.9,41.1,364.0,2.2,1.3,13.261004
14,Najee Harris,PIT,267.2,"1,048.60",7.0,39.8,273.1,2.3,1.6,13.562953
15,Travis Etienne Jr.,JAC,223.2,"1,107.30",6.6,36.7,292.9,1.0,2.5,13.420524
16,James Conner,ARI,214.3,914.2,7.0,41.1,302.7,1.3,1.4,13.650164
17,Alexander Mattison,MIN,215.1,947,8.0,32.0,219.3,1.6,1.4,12.421157
18,Jahmyr Gibbs,DET,179.7,784.7,6.4,43.5,343.8,2.0,1.7,14.2413435
19,Kenneth Walker III,SEA,228.8,"1,046.70",8.3,27.1,177.6,0.6,0.7,12.401612
20,Dameon Pierce,HOU,262.7,"1,091.00",5.6,31.6,205.7,1.1,2.6,12.680898
21,Rachaad White,TB,203.8,817,4.3,46.7,341.3,2.0,2.8,15.388477
22,Alvin Kamara,NO,176.5,757,3.9,45.9,378.7,1.8,1.2,14.364475
23,Miles Sanders,CAR,215.8,"1,008.10",6.1,28.2,191.2,0.8,1.5,12.421157
24,J.K. Dobbins,BAL,177.8,933.7,7.1,22.6,164.8,1.6,0.7,11.13386
25,Cam Akers,LAR,241.1,"1,016.80",6.4,23.0,192.8,0.5,2.5,12.339167
26,David Montgomery,DET,196.1,782.3,6.1,32.6,279.9,1.1,1.4,11.9733095
27,Javonte Williams,DEN,170.7,807.6,4.5,35.9,250.2,1.7,1.7,10.933888
28,D'Andre Swift,PHI,125.9,585.9,5.0,42.4,343.7,1.9,0.9,10.308618
29,Isiah Pacheco,KC,196.1,873.5,6.5,21.3,182.5,0.6,1.8,11.850319
30,Antonio Gibson,WAS,148.4,589.4,3.8,44.8,327.6,1.7,1.5,10.4087715
31,James Cook,BUF,141.5,748.6,4.5,31.2,236.3,1.5,1.5,9.774038
32,AJ Dillon,GB,168.1,733.9,5.8,24.3,195.1,0.7,1.0,9.364983
33,Samaje Perine,DEN,150.0,629,3.7,28.4,232.4,1.5,0.3,9.035779
34,Brian Robinson Jr.,WAS,218.1,916.6,4.5,14.0,90.2,0.7,0.7,11.559234
35,Khalil Herbert,CHI,155.9,783.9,4.3,16.6,112.8,0.6,0.7,8.932533
36,Jeff Wilson Jr.,MIA,136.9,647.9,4.3,21.8,163.5,1.0,1.7,8.975234
37,Jerick McKinnon,KC,53.6,259.3,1.6,40.8,345.2,3.3,0.5,7.601117
38,Raheem Mostert,MIA,136.0,602.2,3.2,24.4,168.6,0.9,1.2,8.975234
39,Rashaad Penny,PHI,160.3,767.1,5.1,9.0,59.7,0.2,1.0,8.067509
40,Elijah Mitchell,SF,142.8,653.6,4.1,13.5,98.4,0.9,0.7,8.294779
41,Damien Harris,BUF,142.2,626.3,4.6,16.2,112.8,0.3,1.1,8.465484
42,Jamaal Williams,NO,161.7,643.1,5.2,11.2,94.1,0.4,1.1,7.995642
43,Tyler Allgeier,ATL,147.5,694.2,3.1,11.9,91.1,0.5,0.7,8.167717
44,Devin Singletary,HOU,130.3,544.3,2.7,23.6,170.8,0.3,1.3,8.87508
45,Zach Charbonnet,SEA,120.8,526.5,3.2,19.5,165.1,0.6,1.2,8.87508
46,Chuba Hubbard,CAR,108.2,521.6,3.2,17.5,162.4,0.5,0.7,8.066647
47,De'Von Achane,MIA,131.1,468.2,2.9,20.6,183.0,0.8,1.0,8.87508
48,Jaylen Warren,PIT,101.6,465.5,2.5,22.3,200.8,0.3,0.4,7.9865837
49,D'Onta Foreman,CHI,143.8,714.5,3.4,5.9,47.5,0.2,1.0,8.167717
50,Kenneth Gainwell,PHI,80.0,362.5,3.3,21.4,168.6,0.6,0.7,7.9865837
51,Chase Edmonds,TB,78.1,366.3,1.8,23.0,178.3,0.8,0.4,7.9865837
52,Israel Abanikanda,NYJ,106.7,432.9,2.3,18.0,160.5,0.6,1.3,8.066647
53,Roschon Johnson,CHI,112.1,510.5,2.5,11.4,125.4,0.6,1.4,7.511188
54,Deon Jackson,IND,97.8,327.2,1.4,28.6,156.8,1.0,1.3,8.798086
55,Zack Moss,IND,128.9,531.1,2.5,11.7,79.7,0.3,0.7,8.211088
56,Tank Bigsby,JAC,100.2,398.9,2.3,15.7,132.9,0.6,1.0,7.6818924
57,Cordarrelle Patterson,ATL,74.2,315.5,2.4,18.7,158.3,0.8,0.5,7.9865837
58,Gus Edwards,BAL,108.8,540.1,3.0,6.2,59.8,0.1,1.1,7.544143
59,Kendre Miller,NO,99.0,360.1,2.0,14.6,133.3,0.6,1.0,7.6818924
60,Tyjae Spears,TEN,93.9,360.6,1.8,15.3,127.8,0.6,1.0,7.6818924
61,Clyde Edwards-Helaire,KC,86.5,345.6,2.2,12.8,113.4,0.9,0.7,7.511188
62,Michael Carter,NYJ,75.2,278.5,1.2,20.0,181.5,0.5,0.5,7.9865837
63,Chase Brown,CIN,76.9,306.6,1.7,17.4,143.8,0.6,1.0,8.066647
64,Zonovan Knight,NYJ,82.3,334.9,1.2,14.7,107.6,0.4,0.3,7.6818924
65,Ty Chandler,MIN,93.5,315.7,1.9,13.2,104.6,0.6,0.8,7.511188
66,Joshua Kelley,LAC,88.0,364.7,1.8,10.4,101.8,0.2,1.4,7.511188
67,Pierre Strong Jr.,NE,96.5,356.1,1.9,9.8,94.2,0.2,0.6,7.511188
68,Kyren Williams,LAR,71.1,302.9,1.0,14.1,117.7,0.3,0.6,7.511188
69,Ronald Jones II,DAL,95.4,398.3,2.2,5.7,47.6,0.2,0.9,7.544143
70,Keaontay Ingram,ARI,72.3,291.7,1.6,14.0,88.9,0.2,0.4,7.511188
71,Eric Gray,NYG,71.9,303.5,1.0,13.0,97.1,0.5,0.7,7.511188
72,Latavius Murray,BUF,66.9,313.4,1.7,10.7,75.5,0.2,0.3,7.511188
73,Jerome Ford,CLE,88.5,316.2,1.4,8.2,94.1,0.2,0.6,7.511188
74,Matt Breida,NYG,64.3,287.1,1.2,11.5,105.1,0.3,1.1,7.511188
75,Isaiah Spiller,LAC,75.1,276.8,0.9,9.5,86.9,0.3,0.3,7.511188
76,JaMycal Hasty,JAC,41.5,199.1,1.0,13.5,103.2,0.4,0.5,7.0948286
77,Zach Evans,LAR,62.4,233.6,1.3,9.5,95.1,0.5,0.6,7.511188
78,Sean Tucker,TB,65.8,254.1,0.8,10.2,85.0,0.3,0.4,7.511188
79,Corey Clement,ARI,57.3,199.1,1.7,11.4,76.1,0.1,0.3,7.0948286
80,Ameer Abdullah,LV,34.7,127,0.5,18.0,129.7,0.5,0.4,6.9989643
81,Deuce Vaughn,DAL,53.4,230.2,1.2,8.1,69.7,0.1,0.3,7.0948286
82,Ty Montgomery,NE,37.6,105.1,0.4,15.6,106.2,0.6,0.0,6.647543
83,J.J. Taylor,NE,8.3,175.8,1.2,10.1,58.0,0.3,0.3,7.871379
84,Hassan Haskins,TEN,46.9,167.2,0.5,11.4,83.0,0.3,0.2,7.0948286
85,Malik Davis,DAL,56.2,226.6,0.9,4.7,57.8,0.1,0.2,7.127784
86,Jordan Mason,SF,63.3,274.4,0.9,2.7,37.7,0.1,0.5,7.544143
87,DeeJay Dallas,SEA,16.3,119.4,0.5,11.0,95.1,0.3,0.0,6.647543
88,Deneric Prince,KC,43.5,168.7,0.7,8.7,60.2,0.2,0.2,7.0948286
89,Melvin Gordon III,BAL,68.1,228.8,0.1,7.0,59.1,0.2,1.0,7.511188
90,Chris Rodriguez Jr.,WAS,42.5,173.5,0.8,6.7,50.7,0.1,0.2,7.0948286
91,Ke'Shawn Vaughn,TB,48.9,190.3,1.1,5.7,36.1,0.2,0.7,7.127784
92,Owen Wright,BAL,0.0,155.6,1.1,6.7,43.5,0.2,0.2,7.871379
93,Kyle Juszczyk,SF,8.4,27,0.4,13.5,105.8,0.6,0.0,7.871379
94,Raheem Blackshear,CAR,28.0,105.5,1.1,8.3,65.1,0.2,0.4,6.647543
95,Chris Evans,CIN,34.8,112.3,0.2,9.9,72.6,0.3,0.2,6.647543
96,Anthony McFarland Jr.,PIT,14.0,122,0.6,9.5,51.4,0.2,0.2,6.647543
97,DeWayne McBride,MIN,53.6,167.2,0.7,4.2,58.4,0.0,0.2,7.127784
98,Boston Scott,PHI,35.6,163.2,1.2,3.6,41.9,0.1,0.6,6.680498
99,Travis Homer,CHI,17.9,96.4,0.2,8.1,74.8,0.2,0.1,6.647543
100,Demetric Felton Jr.,CLE,14.6,71,0.3,10.7,71.1,0.2,0.1,6.647543
101,Sincere McCormick,LV,30.0,136,1.0,4.0,39.0,0.0,0.0,6.680498
102,Tyler Badie,DEN,16.3,86.9,0.4,9.5,55.5,0.2,0.1,6.647543
103,Kenny McIntosh,SEA,39.0,146.9,0.5,4.0,49.1,0.0,0.2,6.680498
104,James Robinson,NYG,49.8,161.2,0.2,4.0,50.5,0.1,0.4,7.127784
105,D'Ernest Johnson,JAC,34.3,139.8,0.4,4.6,41.2,0.1,0.0,6.680498
106,Kene Nwangwu,MIN,35.2,113,0.4,6.4,44.3,0.2,0.1,6.680498
107,Trayveon Williams,CIN,48.1,169.1,0.4,3.9,38.8,0.1,1.0,7.127784
108,Brandon Bolden,LV,14.5,69.9,0.4,7.4,66.9,0.2,0.2,6.647543
109,Kevin Harris,NE,48.5,157.7,0.5,2.1,36.1,0.0,0.2,7.127784
110,Dare Ogunbowale,HOU,10.5,69.1,0.3,9.4,53.7,0.2,0.0,7.871379
111,Jake Funk,IND,39.0,118.4,0.7,4.2,31.6,0.2,0.0,6.680498
112,Darrynton Evans,BUF,8.9,37.6,0.2,8.9,67.3,0.5,0.0,7.871379
113,Tyrion Davis-Price,SF,35.4,134,0.1,3.8,56.3,0.1,0.3,6.680498
114,Zamir White,LV,42.2,133.7,0.9,2.5,9.9,0.1,0.0,7.127784
115,Patrick Taylor Jr.,GB,14.5,83.9,0.6,6.2,33.1,0.2,0.1,6.680498
116,Tony Jones Jr.,DEN,28.2,103.5,0.4,5.1,32.8,0.1,0.1,6.680498
117,Reggie Gilliam,BUF,4.5,18.8,0.2,8.9,65.7,0.5,0.0,7.871379
118,Evan Hull,IND,51.6,128.8,0.4,1.7,39.8,0.0,0.1,7.127784
119,Salvon Ahmed,MIA,31.7,97.1,0.1,4.3,52.1,0.1,0.0,6.680498
120,Myles Gaskin,MIA,32.4,98.1,0.1,4.4,56.3,0.1,0.4,6.680498
121,Justice Hill,BAL,18.7,79.8,0.2,6.3,35.9,0.1,0.2,6.680498
122,Eno Benjamin,NO,28.0,86.2,0.1,3.9,59.4,0.1,0.0,6.680498
123,Brittain Brown,LV,17.3,77.7,0.6,4.1,33.6,0.1,0.0,6.680498
124,Snoop Conner,JAC,19.8,90.5,0.8,3.2,19.0,0.1,0.1,6.680498
125,Lew Nichols III,GB,22.5,92.4,0.5,4.0,23.7,0.0,0.1,6.680498
126,Gary Brightwell,NYG,8.6,75.1,0.4,5.0,27.3,0.1,0.1,7.904334
127,Jonathan Williams,WAS,34.4,95.6,0.4,3.4,22.9,0.1,0.1,6.680498
128,Craig Reynolds,DET,17.5,69.4,0.1,4.4,48.7,0.2,0.0,6.680498
129,Jordan Mims,BUF,0.0,49.1,0.3,5.0,36.4,0.2,0.0,7.904334
130,Zander Horvath,LAC,6.1,14.3,0.0,5.5,25.1,1.1,0.0,7.904334
131,Rico Dowdle,DAL,27.7,82.6,0.4,2.6,22.2,0.1,0.0,6.680498
132,Ty'Son Williams,ARI,19.3,67.5,0.4,3.6,25.1,0.1,0.0,6.680498
133,Mike Boone,HOU,17.9,73.7,0.1,3.9,29.8,0.1,0.0,6.680498
134,C.J. Ham,MIN,6.9,16.7,0.1,7.3,37.3,0.3,0.0,7.871379
135,Alec Ingold,MIA,4.3,11.2,0.1,6.4,46.1,0.3,0.0,7.904334
136,Trey Sermon,PHI,17.5,58.8,0.1,3.9,29.6,0.1,0.1,6.680498
137,Damarea Crockett,NYJ,21.0,59.6,0.5,2.3,18.0,0.1,0.0,6.680498
138,La'Mical Perine,KC,4.2,17.6,0.2,5.0,35.7,0.3,0.0,7.904334
139,Patrick Ricard,BAL,6.4,15.5,0.0,7.0,40.0,0.3,0.6,7.871379
140,Jermar Jefferson,DET,4.6,19.4,0.2,4.4,34.5,0.3,0.0,7.904334
141,Ronnie Rivers,LAR,4.6,30.9,0.2,4.3,28.8,0.2,0.0,7.904334
142,Trestan Ebner,CHI,17.7,59.9,0.1,2.9,26.5,0.1,0.1,6.680498
143,Julius Chestnut,TEN,14.5,48.1,0.1,3.7,27.2,0.1,0.1,6.680498
144,Qadree Ollison,JAC,4.5,18.7,0.2,4.5,31.9,0.2,0.0,7.904334
145,Jason Cabinda,DET,4.6,12.5,0.1,4.4,33.3,0.3,0.0,7.904334
146,Larry Rountree III,LAC,4.3,17.6,0.0,4.8,36.1,0.2,0.0,7.904334
147,Giovanni Ricci,CAR,4.6,19.6,0.2,4.1,29.9,0.2,0.0,7.904334
148,Jason Huntley,PIT,4.9,20.7,0.2,4.0,29.0,0.2,0.0,7.904334
149,Patrick Laird,TB,4.4,18.2,0.2,4.1,30.5,0.2,0.0,7.904334
150,Spencer Brown,CAR,4.6,19.7,0.2,4.1,28.5,0.2,0.0,7.904334
151,Hunter Luepke,DAL,0.0,17.7,0.2,4.4,20.7,0.2,0.0,7.904334
152,Nate McCrary,CLE,5.4,22.7,0.1,3.8,28.1,0.2,0.0,7.904334
153,Gerrid Doaks,HOU,4.7,19.8,0.1,4.0,27.6,0.2,0.0,7.904334
154,Jaret Patterson,WAS,10.1,33.5,0.2,2.4,16.3,0.1,0.0,7.904334
155,Jonathan Ward,TEN,10.1,42.9,0.2,1.9,14.0,0.1,0.0,7.904334
156,Adam Prentice,NO,0.0,11.3,0.1,4.0,19.7,0.2,0.0,7.904334
157,Henry Pearson,GB,0.0,13,0.1,4.0,17.4,0.2,0.0,7.904334
158,Avery Williams,ATL,9.3,26.6,0.1,3.5,16.2,0.1,0.0,7.904334
159,Michael Burton,DEN,4.7,12.1,0.1,3.4,19.0,0.2,0.0,7.904334
160,Jack Colletto,SF,0.0,7.5,0.1,3.8,17.0,0.2,0.0,7.904334
161,Clint Ratkovich,ATL,0.0,7.9,0.1,3.8,16.3,0.2,0.0,7.904334
162,Jakob Johnson,LV,0.0,2,0.0,4.5,16.0,0.2,0.0,7.904334
163,Khari Blasingame,CHI,5.8,13.8,0.1,2.6,12.1,0.1,0.0,7.904334
164,Keith Smith,ATL,5.4,12.2,0.1,2.8,11.5,0.1,0.0,7.904334
165,John Kelly Jr.,CLE,5.4,14.4,0.1,2.2,16.1,0.1,0.0,7.904334
166,Zach Ojile,MIN,0.0,0.8,0.0,0.4,1.9,0.0,0.0,7.805382
167,Nick Bellore,SEA,0.0,0,0.0,0.0,0.0,0.0,0.0,7.805382
168,Keaton Mitchell,BAL,23.7,73.9,0.0,0.0,27.4,0.0,0.1,6.581546
169,Mohamed Ibrahim,DET,29.5,93.5,0.0,0.0,34.7,0.0,0.2,6.581546
