"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cooper Kupp (LAR)","145","191","1,947","13.4","59","57","16","4","18","0","0","17","439.5","25.9","99.9%"
"2","Davante Adams (LV)","123","169","1,553","12.6","59","37","11","0","0","0","0","16","344.3","21.5","99.9%"
"3","Deebo Samuel (SF)","77","121","1,405","18.2","83","53","6","59","365","8","2","16","339.0","21.2","98.7%"
"4","Justin Jefferson (MIN)","108","167","1,616","15.0","56","45","10","6","14","0","1","17","330.4","19.4","100.0%"
"5","Ja'Marr Chase (CIN)","81","128","1,455","18.0","82","49","13","7","21","0","1","17","304.6","17.9","100.0%"
"6","Tyreek Hill (MIA)","111","159","1,239","11.2","75","24","9","9","96","0","1","17","296.5","17.4","100.0%"
"7","Stefon Diggs (BUF)","103","164","1,225","11.9","61","24","10","0","0","0","0","17","285.5","16.8","99.9%"
"8","Diontae Johnson (PIT)","107","169","1,161","10.9","50","27","8","5","53","0","2","16","274.4","17.2","92.4%"
"9","Mike Evans (TB)","74","114","1,035","14.0","46","30","14","1","10","0","0","16","262.5","16.4","93.9%"
"10","Hunter Renfrow (LV)","103","128","1,038","10.1","54","14","9","3","3","0","1","17","259.1","15.2","9.9%"
"11","Keenan Allen (LAC)","106","157","1,138","10.7","42","19","6","0","0","0","0","16","257.8","16.1","97.6%"
"12","Mike Williams (LAC)","76","129","1,146","15.1","72","37","9","0","0","0","0","16","246.6","15.4","92.3%"
"13","Jaylen Waddle (MIA)","104","140","1,015","9.8","57","15","6","2","3","1","1","16","245.8","15.4","99.9%"
"14","DK Metcalf (SEA)","75","129","967","12.9","84","19","12","1","6","0","0","17","244.3","14.4","99.3%"
"15","Chris Godwin (TB)","98","127","1,103","11.3","44","19","5","4","21","1","2","14","242.4","17.3","94.7%"
"16","Tyler Lockett (SEA)","73","107","1,175","16.1","69","43","8","2","9","0","0","16","241.4","15.1","94.0%"
"17","Michael Pittman Jr. (IND)","88","129","1,082","12.3","57","20","6","5","44","0","0","17","238.6","14.0","91.6%"
"18","DJ Moore (CHI)","93","163","1,157","12.4","64","20","4","8","48","0","1","17","237.5","14.0","95.5%"
"19","CeeDee Lamb (DAL)","79","120","1,102","13.9","49","31","6","9","76","0","0","16","232.8","14.6","99.9%"
"20","Brandin Cooks (DAL)","90","134","1,037","11.5","52","24","6","2","21","0","0","16","231.8","14.5","87.5%"
"21","Amon-Ra St. Brown (DET)","90","119","912","10.1","37","15","5","7","61","1","0","16","227.3","14.2","99.9%"
"22","Marquise Brown (ARI)","91","146","1,008","11.1","49","24","6","1","5","0","1","16","226.3","14.1","90.2%"
"23","Darnell Mooney (CHI)","81","140","1,055","13.0","64","26","4","6","32","1","0","17","219.7","12.9","45.9%"
"24","Tee Higgins (CIN)","74","110","1,091","14.7","54","25","6","0","0","0","1","14","219.1","15.7","99.8%"
"25","Terry McLaurin (WAS)","77","130","1,053","13.7","46","27","5","1","12","0","0","17","213.5","12.6","95.9%"
"26","Christian Kirk (JAC)","77","103","982","12.8","50","28","5","1","11","0","0","17","207.6","12.2","91.0%"
"27","Amari Cooper (CLE)","68","104","865","12.7","41","20","8","0","0","0","0","15","202.5","13.5","97.5%"
"28","Adam Thielen (CAR)","67","95","726","10.8","35","16","10","1","2","0","0","13","199.8","15.4","62.6%"
"29","Jakobi Meyers (LV)","83","126","866","10.4","39","14","2","1","9","0","1","16","186.3","11.6","68.6%"
"30","DeVonta Smith (PHI)","64","104","916","14.3","46","22","5","0","0","0","1","17","185.6","10.9","99.2%"
"31","Tyler Boyd (CIN)","67","94","828","12.4","68","18","5","2","22","0","0","16","183.8","11.5","48.6%"
"32","A.J. Brown (PHI)","63","105","869","13.8","57","17","5","2","10","0","0","13","180.9","13.9","99.9%"
"33","Kendrick Bourne (NE)","55","70","800","14.5","75","22","5","12","125","0","1","17","180.5","10.6","0.8%"
"34","Marvin Jones Jr. (DET)","73","120","832","11.4","33","15","4","0","0","0","0","17","180.2","10.6","2.9%"
"35","Brandon Aiyuk (SF)","56","84","826","14.8","43","23","5","5","17","0","1","17","170.3","10.0","92.0%"
"36","Van Jefferson (LAR)","50","89","802","16.0","79","26","6","2","20","0","0","17","168.2","9.9","5.2%"
"37","Chase Claypool (CHI)","59","105","860","14.6","59","26","2","14","96","0","0","15","166.6","11.1","13.7%"
"38","Russell Gage (TB)","66","94","770","11.7","49","11","4","0","0","0","2","13","163.0","12.5","1.4%"
"39","Cole Beasley (NYG)","82","112","693","8.5","29","5","1","0","0","0","0","16","159.3","10.0","0.1%"
"40","K.J. Osborn (MIN)","50","82","655","13.1","64","18","7","1","10","0","0","17","158.5","9.3","15.4%"
"41","A.J. Green (FA)","54","92","848","15.7","42","28","3","0","0","0","0","16","156.8","9.8","0.6%"
"42","Tim Patrick (DEN)","53","85","734","13.8","44","15","5","0","0","0","0","16","156.4","9.8","3.7%"
"43","Marquez Callaway (DEN)","46","84","698","15.2","58","18","6","0","0","0","0","17","151.8","8.9","0.1%"
"44","Courtland Sutton (DEN)","58","98","776","13.4","55","19","2","0","0","0","0","17","150.2","8.8","74.3%"
"45","Cedrick Wilson Jr. (MIA)","45","61","602","13.4","73","16","6","2","11","0","0","14","147.8","10.6","0.2%"
"46","DeAndre Hopkins (TEN)","42","64","572","13.6","55","13","8","0","0","0","0","10","147.2","14.7","97.1%"
"47","Allen Lazard (NYJ)","40","60","513","12.8","42","12","8","3","32","0","0","14","142.5","10.2","66.7%"
"48","Mecole Hardman Jr. (NYJ)","59","83","693","11.7","53","17","2","8","46","0","2","17","140.9","8.3","7.9%"
"49","Robbie Chosen (MIA)","53","110","519","9.8","57","6","5","3","36","0","0","17","138.5","8.1","0.7%"
"50","Elijah Moore (CLE)","43","77","538","12.5","62","12","5","5","54","1","0","11","138.2","12.6","45.4%"
"51","Robert Woods (HOU)","45","69","556","12.4","28","8","4","8","46","1","0","9","137.2","15.2","4.5%"
"52","Jarvis Landry (FA)","52","87","570","11.0","38","10","2","6","40","2","2","12","133.0","11.1","7.1%"
"53","Kalif Raymond (DET)","48","71","576","12.0","75","12","4","4","28","0","0","16","132.4","8.3","0.7%"
"54","Emmanuel Sanders (FA)","42","72","626","14.9","41","15","4","2","31","0","0","14","131.7","9.4","0.0%"
"55","Odell Beckham Jr. (BAL)","44","82","537","12.2","54","12","5","2","14","0","0","14","129.1","9.2","85.5%"
"56","Laviska Shenault Jr. (CAR)","63","100","619","9.8","58","11","0","11","41","0","1","16","127.0","7.9","0.7%"
"57","Byron Pringle (WAS)","42","60","568","13.5","40","14","5","0","0","0","1","16","126.8","7.9","0.0%"
"58","Gabe Davis (BUF)","35","63","549","15.7","49","17","6","0","0","0","0","15","125.9","8.4","86.9%"
"59","Antonio Brown (FA)","42","62","545","13.0","62","15","4","1","6","0","0","7","121.1","17.3","0.2%"
"60","Braxton Berrios (MIA)","46","65","431","9.4","46","7","2","7","40","2","1","16","121.1","7.6","0.8%"
"61","Quez Watkins (PHI)","43","62","647","15.0","91","22","1","1","3","0","0","17","116.0","6.8","0.8%"
"62","Deonte Harty (BUF)","36","59","570","15.8","72","16","3","5","41","0","1","13","113.1","8.7","0.2%"
"63","Donovan Peoples-Jones (CLE)","34","58","597","17.6","60","22","3","0","0","0","1","14","109.7","7.8","17.3%"
"64","Jamison Crowder (NYG)","51","71","447","8.8","29","3","2","0","0","0","1","12","109.7","9.1","0.2%"
"65","Bryan Edwards (NO)","34","59","571","16.8","51","19","3","1","0","0","0","16","109.1","6.8","0.1%"
"66","Rondale Moore (ARI)","54","64","435","8.1","77","7","1","18","76","0","1","14","109.1","7.8","50.0%"
"67","Nick Westbrook-Ikhine (TEN)","38","57","476","12.5","46","8","4","0","0","0","1","15","107.6","7.2","0.8%"
"68","Zay Jones (JAC)","47","70","546","11.6","43","14","1","2","3","0","1","15","105.9","7.1","40.0%"
"69","Corey Davis (NYJ)","34","59","492","14.5","53","14","4","0","0","0","1","9","105.2","11.7","2.0%"
"70","DeVante Parker (NE)","40","73","515","12.9","42","11","2","0","0","0","0","10","103.5","10.4","2.7%"
"71","Rashod Bateman (BAL)","46","68","515","11.2","36","12","1","0","0","0","0","12","103.5","8.6","40.5%"
"72","Nelson Agholor (BAL)","37","64","473","12.8","44","12","3","3","11","0","0","15","103.4","6.9","0.7%"
"73","Jalen Guyton (LAC)","31","48","448","14.5","59","10","3","7","34","0","0","16","97.2","6.1","0.1%"
"74","Zach Pascal (ARI)","38","69","384","10.1","41","9","3","2","21","0","1","16","94.5","5.9","0.1%"
"75","Randall Cobb (NYJ)","28","39","375","13.4","54","11","5","1","1","0","1","11","93.6","8.5","0.7%"
"76","Joshua Palmer (LAC)","33","49","353","10.7","36","4","4","1","6","0","0","15","92.9","6.2","3.7%"
"77","Michael Gallup (DAL)","35","62","445","12.7","41","11","2","0","0","0","0","9","91.5","10.2","51.1%"
"78","Olamide Zaccheaus (PHI)","31","53","406","13.1","49","9","3","1","2","0","0","15","89.8","6.0","0.6%"
"79","Kenny Golladay (FA)","37","76","521","14.1","36","6","0","0","0","0","0","14","89.1","6.4","2.1%"
"80","Tre'Quan Smith (NO)","32","50","377","11.8","34","7","3","0","0","0","0","10","87.7","8.8","0.6%"
"81","Marquez Valdes-Scantling (KC)","26","55","430","16.5","75","17","3","0","0","0","0","11","87.0","7.9","13.1%"
"82","Allen Robinson II (PIT)","38","66","410","10.8","39","6","1","0","0","0","0","12","87.0","7.3","4.0%"
"83","DeAndre Carter (LV)","24","44","296","12.3","26","5","3","10","89","0","0","17","86.5","5.1","0.6%"
"84","Freddie Swain (MIA)","25","40","343","13.7","68","13","4","5","32","0","0","17","86.5","5.1","0.0%"
"85","Jerry Jeudy (DEN)","38","56","467","12.3","40","10","0","2","3","0","0","10","85.0","8.5","93.6%"
"86","Henry Ruggs III (FA)","24","36","469","19.5","61","21","2","3","16","0","0","7","84.5","12.1","10.9%"
"87","Nico Collins (HOU)","33","60","446","13.5","32","11","1","0","0","0","0","14","83.6","6.0","41.8%"
"88","Laquon Treadwell (BAL)","33","51","434","13.2","41","10","1","0","0","0","0","12","82.4","6.9","0.1%"
"89","Kadarius Toney (KC)","39","57","420","10.8","38","7","0","3","6","0","0","9","82.4","9.2","80.9%"
"90","Jauan Jennings (SF)","24","38","282","11.8","34","5","5","0","0","0","0","13","82.2","6.3","0.5%"
"91","Josh Reynolds (DET)","29","49","396","13.7","39","7","2","0","0","0","0","11","80.6","7.3","0.8%"
"92","Julio Jones (FA)","31","48","434","14.0","51","9","1","0","0","0","0","10","80.4","8.0","7.2%"
"93","Adam Humphries (FA)","41","62","383","9.3","27","4","0","0","0","0","0","17","79.3","4.7","1.0%"
"94","Keelan Cole Sr. (LV)","28","51","449","16.0","54","12","1","0","0","0","0","14","78.9","5.6","0.0%"
"95","Jalen Reagor (MIN)","33","57","299","9.1","34","5","2","10","32","0","0","17","78.1","4.6","0.2%"
"96","Sterling Shepard (NYG)","36","53","366","10.2","37","5","1","1","-9","0","0","7","77.7","11.1","1.0%"
"97","Devin Duvernay (BAL)","33","47","272","8.2","21","1","2","7","50","0","0","16","77.2","4.8","1.2%"
"98","Jamal Agnew (JAC)","24","39","229","9.5","29","4","1","7","111","1","0","12","76.0","6.3","0.7%"
"99","DeSean Jackson (FA)","20","34","454","22.7","75","19","2","1","4","0","1","14","75.8","5.4","1.0%"
"100","T.Y. Hilton (FA)","23","37","331","14.4","52","11","3","0","0","0","0","10","74.1","7.4","3.0%"
"101","Tyler Johnson (LAR)","36","55","360","10.0","31","6","0","0","0","0","0","16","72.0","4.5","0.0%"
"102","Calvin Ridley (JAC)","31","52","281","9.1","22","3","2","0","0","0","0","5","71.1","14.2","94.8%"
"103","Sammy Watkins (FA)","27","49","394","14.6","49","9","1","0","0","0","1","11","70.4","6.4","1.6%"
"104","Demarcus Robinson (LAR)","25","41","264","10.6","33","4","3","0","0","0","0","15","69.4","4.6","0.2%"
"105","Danny Amendola (FA)","24","38","248","10.3","39","6","3","0","0","0","0","8","68.8","8.6","0.0%"
"106","Darius Slayton (NYG)","26","58","339","13.0","42","7","2","1","-13","0","1","13","68.6","5.3","2.5%"
"107","Ray-Ray McCloud III (SF)","39","66","277","7.1","24","2","0","2","15","0","1","16","66.2","4.1","0.6%"
"108","James Washington (NO)","24","44","285","11.9","42","8","2","2","13","0","0","15","65.8","4.4","0.1%"
"109","Chester Rogers (FA)","30","43","301","10.0","39","4","1","1","9","0","1","16","65.0","4.1","0.0%"
"110","Damiere Byrd (CAR)","26","38","329","12.7","54","6","1","0","0","0","1","11","64.9","5.9","0.0%"
"111","Chris Conley (SF)","22","37","323","14.7","41","10","2","1","3","0","1","14","64.6","4.6","0.1%"
"112","Mack Hollins (ATL)","14","28","223","15.9","65","9","4","0","0","0","0","16","60.3","3.8","1.5%"
"113","Antoine Wesley (FA)","19","32","208","10.9","33","5","3","0","0","0","0","8","57.8","7.2","0.0%"
"114","Rashard Higgins (FA)","24","47","275","11.5","21","1","1","0","0","0","0","12","57.5","4.8","0.0%"
"115","Marquise Goodwin (CLE)","20","40","313","15.7","50","10","1","2","-1","0","0","14","57.2","4.1","0.6%"
"116","Chris Moore (TEN)","21","22","227","10.8","67","7","2","0","0","0","0","10","55.7","5.6","0.6%"
"117","Isaiah McKenzie (IND)","20","26","178","8.9","28","1","1","9","47","1","1","15","52.5","3.5","1.3%"
"118","Tavon Austin (FA)","24","38","213","8.9","25","2","1","3","21","0","1","12","51.4","4.3","0.0%"
"119","Lil'Jordan Humphrey (DEN)","13","18","249","19.2","56","9","2","0","0","0","0","8","49.9","6.2","0.0%"
"120","Quintez Cephus (DET)","15","22","204","13.6","46","8","2","0","0","0","0","5","49.4","9.9","0.0%"
"121","Brandon Zylstra (FA)","18","25","250","13.9","55","7","1","0","0","0","0","12","49.0","4.1","0.0%"
"122","Cam Sims (LV)","15","23","211","14.1","43","4","2","1","7","0","0","12","48.8","4.1","0.0%"
"123","Albert Wilson (FA)","25","39","213","8.5","64","4","0","4","17","0","0","10","48.0","4.8","0.0%"
"124","Tajae Sharpe (FA)","25","37","230","9.2","17","0","0","0","0","0","0","14","48.0","3.4","0.0%"
"125","Ashton Dulin (IND)","13","22","173","13.3","62","5","2","3","32","0","0","16","45.5","2.8","0.1%"
"126","Malik Turner (IND)","12","16","149","12.4","61","4","3","0","0","0","0","7","44.9","6.4","0.0%"
"127","Cyril Grayson Jr. (FA)","10","12","212","21.2","62","11","2","1","14","0","0","3","44.6","14.9","0.0%"
